;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;social;ideología;economía;internacional;cultura;inseguridad ciudadana;jóvenes;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
0;2000.0;9.0;0.0636094674556;0.012573964497;0.0244082840237;0.0562130177515;0.0506656804734;0.0151627218935;0.0358727810651;0.00924556213018;0.377588757396;0.0314349112426;0.0236686390533;0.010724852071;0.0569526627219;0.0902366863905;0.0347633136095;0.0151627218935;0.0743343195266;0.0173816568047;0.0
1;2000.0;10.0;0.0;0.0620111731844;0.0072625698324;0.0446927374302;0.063687150838;0.0960893854749;0.0;0.0;0.274860335196;0.0698324022346;0.00391061452514;0.0173184357542;0.140223463687;0.022905027933;0.0486033519553;0.0195530726257;0.0541899441341;0.0748603351955;0.0
2;2000.0;11.0;0.0;0.0421686746988;0.044578313253;0.0614457831325;0.0204819277108;0.033734939759;0.0;0.0;0.3;0.0;0.0;0.0759036144578;0.089156626506;0.136144578313;0.055421686747;0.110843373494;0.0;0.0301204819277;0.0
3;2000.0;12.0;0.0;0.0607187112763;0.0198265179678;0.0204460966543;0.0910780669145;0.134448574969;0.0514250309789;0.0570012391574;0.210656753408;0.0;0.0130111524164;0.0;0.0;0.137546468401;0.0600991325898;0.0588599752169;0.0204460966543;0.0644361833953;0.0
131;2001.0;1.0;0.0;0.0509561769161;0.0167248061782;0.03065768991;0.0995448719263;0.0925243199204;0.0480933134136;0.0285006195787;0.238477906383;0.0163801492053;0.0340761243755;0.00502757054817;0.0264352903017;0.113534830049;0.0504842078778;0.0548921997395;0.0410371903966;0.0526527332805;0.0
4;2001.0;2.0;0.0;0.041193642556;0.0136230943886;0.0408692831657;0.108011676938;0.0506000648719;0.0447615958482;0.0;0.266299059358;0.0327602984106;0.0551410963347;0.0100551410963;0.0528705806033;0.0895231916964;0.0408692831657;0.0509244242621;0.0616282841388;0.0408692831657;0.0
5;2001.0;3.0;0.0;0.0280739161336;0.0131485429993;0.115138592751;0.104122245913;0.0607675906183;0.0;0.0273631840796;0.255152807392;0.0486851457001;0.00995024875622;0.0;0.043354655295;0.0483297796731;0.0550817341862;0.0874200426439;0.0536602700782;0.0497512437811;0.0
6;2001.0;4.0;0.0;0.0843971631206;0.0450354609929;0.077304964539;0.0882978723404;0.063475177305;0.0308510638298;0.0283687943262;0.266666666667;0.027304964539;0.0290780141844;0.0;0.05;0.0769503546099;0.0166666666667;0.0;0.0489361702128;0.0666666666667;0.0
7;2001.0;5.0;0.00957264957265;0.0218803418803;0.0283760683761;0.0454700854701;0.0584615384615;0.0564102564103;0.0;0.00273504273504;0.317264957265;0.0687179487179;0.0112820512821;0.0208547008547;0.105641025641;0.0810256410256;0.0181196581197;0.0396581196581;0.0280341880342;0.0864957264957;0.0
8;2001.0;6.0;0.04;0.0842666666667;0.0336;0.032;0.0736;0.0389333333333;0.0;0.0;0.272;0.0565333333333;0.0432;0.0122666666667;0.0;0.124266666667;0.0496;0.072;0.0416;0.0261333333333;0.0
