date,corrupcionCongreso,corrupcionCis,economiaCongreso,economiaCis,educacionCongreso,educacionCis,empleoCongreso,empleoCis,ideologiaCongreso,ideologiaCis,icCongreso,icCis,jovenesCongreso,jovenesCis,justiciaCongreso,justiciaCis,maCongreso,maCis,otrosCongreso,otrosCis,saludCongreso,saludCis,speiCongreso,speiCis,socialCongreso,socialCis,terrorismoCongreso,terrorismoCis,viviendaCongreso,viviendaCis
20000930,3.0300000000000002,2.35,20.560000000000002,13.03,3.51,2.65,10.43,26.590000000000003,6.58,0.52,1.0699999999999998,4.52,6.43,0.5599999999999999,0.0,0.52,8.14,2.04,12.8,2.9499999999999997,2.85,8.21,7.470000000000001,0.52,2.26,5.86,1.26,28.449999999999996,13.61,1.22
20001231,0.88,2.2033333333333336,10.336666666666668,9.600000000000001,2.1466666666666665,2.753333333333334,5.586666666666667,26.119999999999997,8.716666666666667,0.29666666666666663,1.8199999999999998,3.9666666666666663,8.0,0.5666666666666667,4.36,0.59,9.853333333333332,1.0566666666666666,12.066666666666666,3.746666666666667,13.260000000000002,8.696666666666667,17.200000000000003,0.3966666666666667,0.0,6.88,2.8933333333333326,31.76666666666667,2.8800000000000003,1.3566666666666667
20010331,3.6799999999999997,2.2066666666666666,8.033333333333333,4.046666666666667,3.32,1.9633333333333332,11.426666666666668,26.003333333333334,8.013333333333334,0.26999999999999996,0.5033333333333333,3.6533333333333333,7.086666666666668,0.4966666666666667,2.576666666666667,0.8833333333333334,13.853333333333332,1.05,14.81,3.946666666666667,13.473333333333334,13.886666666666667,9.69,0.2433333333333333,0.0,12.226666666666668,3.526666666666666,28.136666666666667,0.0,0.9933333333333334
20010630,2.85,2.396666666666667,7.256666666666665,5.466666666666666,5.633333333333334,2.49,8.67,27.336666666666666,5.753333333333333,0.2133333333333333,1.1066666666666667,4.6466666666666665,8.103333333333333,0.7766666666666666,5.17,0.9266666666666666,12.486666666666666,1.0799999999999998,13.373333333333335,4.666666666666667,6.903333333333333,10.52,17.766666666666666,0.5433333333333332,0.0,9.966666666666669,3.0366666666666666,27.52,1.8800000000000001,1.4466666666666668
20010930,7.180000000000001,2.7700000000000005,11.469999999999999,5.405,3.1300000000000003,2.375,4.97,27.305,4.99,0.155,1.0100000000000002,3.885,6.795000000000001,0.745,7.2700000000000005,0.655,10.23,1.03,17.035,4.155,3.375,9.045,13.584999999999999,0.615,0.0,8.365,3.105,32.22,5.8549999999999995,1.2750000000000001
20011231,1.376666666666667,3.6900000000000004,19.299999999999997,6.720000000000001,8.286666666666667,3.2,6.419999999999999,26.244999999999997,8.656666666666666,0.0,2.41,6.205000000000001,4.973333333333333,0.725,1.1966666666666668,0.77,11.803333333333333,0.6399999999999999,15.756666666666666,4.05,7.553333333333333,8.790000000000001,8.21,0.46499999999999997,0.0,8.68,1.3466666666666667,28.22,2.7166666666666663,1.6
20020331,1.51,2.7066666666666666,11.903333333333332,5.663333333333333,5.786666666666667,2.8933333333333326,6.193333333333334,26.876666666666665,4.61,0.0,6.959999999999999,8.496666666666668,5.006666666666667,1.5400000000000003,2.986666666666667,0.8499999999999999,8.793333333333333,0.65,18.623333333333335,4.753333333333334,4.583333333333334,9.353333333333333,14.813333333333334,0.4866666666666667,0.5399999999999999,9.626666666666667,3.836666666666667,24.663333333333334,3.853333333333333,1.4400000000000002
20020630,4.113333333333333,3.3866666666666663,13.903333333333334,5.566666666666667,3.033333333333333,2.65,14.97,29.196666666666665,7.71,0.0,4.363333333333333,8.153333333333332,7.426666666666666,1.1166666666666667,2.7133333333333334,0.7,8.296666666666667,0.63,13.99,4.3533333333333335,2.75,7.973333333333334,10.523333333333333,0.5433333333333332,2.1133333333333337,11.8,1.7766666666666666,22.283333333333335,2.313333333333333,1.6366666666666665
20020930,1.635,2.74,12.325,5.824999999999999,3.93,1.8849999999999998,15.049999999999999,27.6,11.23,0.15,3.485,8.795,5.235,0.8150000000000001,1.21,0.47000000000000003,9.770000000000001,0.725,10.645,4.68,3.56,6.709999999999999,14.3,0.645,0.8200000000000001,12.469999999999999,1.8450000000000002,24.6,4.95,1.8900000000000001
20021231,16.656666666666666,3.3066666666666666,11.98,6.776666666666667,5.8,2.0933333333333333,5.793333333333333,27.10666666666667,6.886666666666668,0.16666666666666669,3.5366666666666666,9.103333333333333,3.9933333333333327,0.9333333333333335,3.153333333333333,0.75,8.086666666666668,5.0200000000000005,10.603333333333335,3.8066666666666666,1.5466666666666664,5.873333333333333,8.676666666666666,0.5366666666666666,0.88,9.243333333333332,0.3433333333333333,21.430000000000003,12.059999999999999,3.836666666666667
20030331,15.983333333333336,4.263333333333334,9.856666666666666,6.129999999999999,0.83,1.6666666666666667,8.213333333333333,25.77333333333333,18.006666666666668,0.07,4.316666666666666,8.823333333333332,5.403333333333333,0.5366666666666666,1.5766666666666669,0.5933333333333333,5.596666666666668,4.323333333333332,14.59,3.943333333333333,1.7633333333333334,5.253333333333334,9.296666666666665,0.4933333333333334,0.0,7.2700000000000005,0.6533333333333333,27.55,3.92,3.2999999999999994
20030630,6.18,4.683333333333334,6.84,5.85,3.7733333333333334,2.2566666666666664,8.133333333333333,27.03666666666667,21.62333333333333,0.1,2.1033333333333335,11.059999999999999,2.766666666666666,0.6166666666666667,4.05,0.6766666666666667,6.959999999999999,1.07,18.84,4.33,2.2,6.800000000000001,9.023333333333333,0.8633333333333333,0.3966666666666667,7.946666666666667,2.36,21.019999999999996,4.736666666666666,5.683333333333333
